onset	duration	nwb_table	error_onset_time	reward_start_time	reward_stop_time	movement_start_time	cue_onset_time	target
305.009991645813	4.855234622955322	trials		309.52550411224365	309.8644070625305	308.1998336315155	307.9796736240387	Right
312.7285759449005	5.0056397914886475	trials		317.3712282180786	317.73339653015137	316.23430132865906	315.97953033447266	Left
320.52436995506287	1.6269721984863281	trials	322.1357362270355			322.11763191223145		Right
324.74316811561584	4.704665422439575	trials		329.04204297065735	329.44705533981323	327.8493287563324	327.62253308296204	Right
331.47703289985657	3.9562036991119385	trials		335.0745496749878	335.4323353767395	334.0336742401123	333.77615880966187	Left
337.50937604904175	4.631633758544922	trials		341.7460734844208	342.13924860954285	340.660019159317	340.417781829834	Left
344.5702655315399	5.348925590515137	trials		349.54158091545105	349.915504693985	348.2716979980469	348.0097587108612	Right
352.7747993469238	4.531036138534546	trials		356.90053629875183	357.304975271225	355.73104643821716	355.4788556098938	Right
359.46139645576477	4.812062740325928	trials		363.8996171951294	364.2726399898529	362.6334617137909	362.4006450176239	Left
366.351687669754	3.86891770362854	trials		369.83697414398193	370.2197861671448	368.92987394332886	368.6810829639435	Right
372.819885969162	4.265984058380127	trials		376.71362566947937	377.0820198059082	375.7109248638153	375.46340346336365	Left
379.2421684265137	4.065197944641113	trials		382.94818806648254	383.3065061569214	381.708984375	381.4628965854645	Left
386.00761342048645	4.6209025382995605	trials		390.2765874862671	390.6276557445526	388.88873982429504	388.66665482521057	Right
392.66308093070984	5.112791061401367	trials		397.3855640888214	397.7750117778778	396.16901111602783	395.9154279232025	Left
400.27275252342224	3.6059136390686035	trials		403.54209780693054	403.87739658355713	402.08125948905945	401.85311222076416	Right
406.0535192489624	3.922288656234741	trials		409.6344063282013	409.97498869895935	408.17721343040466	407.91633915901184	Right
412.10044407844543	4.827463865280151	trials		416.55656456947327	416.9270477294922	415.7205300331116	415.47784185409546	Left
419.8663372993469	4.4516966342926025	trials		423.9453389644623	424.3145523071289	422.82975220680237	422.60201478004456	Right
426.4756019115448	5.450629234313965	trials		431.5558297634125	431.9228312969208	430.1475021839142	429.91525888442993	Left
434.0683162212372	5.203394412994385	trials		438.89958906173706	439.27035903930664	437.6658329963684	437.429616689682	Right
442.0858266353607	5.209333658218384	trials		446.8993229866028	447.2887706756592	445.5049216747284	445.2732517719269	Left
449.6465919017792	4.714209318161011	trials		453.96054005622864	454.34626054763794	452.9770905971527	452.68140029907227	Right
456.6774170398712	3.9830322265625	trials		460.25756669044495	460.65971207618713	459.3430528640747	459.0869300365448	Left
463.00635147094727	4.6854143142700195	trials		467.28949761390686	467.68984055519104	466.38092279434204	466.1331968307495	Left
470.39619064331055	4.273930311203003	trials		474.335027217865	474.66926074028015	473.23512840270996	472.97691655158997	Right
477.24130296707153	4.743741512298584	trials		481.49164032936096	481.8760907649994	480.50872325897217	480.2417869567871	Left
484.59882497787476	4.140154838562012	trials		488.3526861667633	488.7373003959656	487.0196018218994	486.7570073604584	Right
491.7088665962219	4.979384183883667	trials		496.2590310573578	496.68640756607056	495.0026240348816	494.78905844688416	Left
499.05360889434814	4.941168785095215	trials		503.6011109352112	503.99395847320557	502.57907700538635	502.3358156681061	Right
506.599219083786	4.9754931926727295	trials		511.1638834476471	511.57389307022095	510.3287091255188	510.08643078804016	Left
513.7407999038696	5.147279500961304	trials		518.5083801746368	518.8872601985931	517.2753612995148	517.0375475883484	Right
521.4738023281097	3.5165388584136963	trials		524.6330471038818	524.9838695526123	523.6554546356201	523.4139544963837	Left
527.8672077655792	3.3477835655212402	trials		530.836930513382	531.2141721248627	529.682145357132	529.4436762332916	Right
533.2862157821655	5.165506362915039	trials		538.1151947975159	538.448486328125	536.9672908782959	536.726241350174	Left
540.614369392395	4.813250541687012	trials		545.0227711200714	545.4248344898224	543.7412557601929	543.4746880531311	Right
548.1933619976044	3.8900530338287354	trials		551.7255885601044	552.0790731906891	550.7099034786224	550.4755301475525	Right
554.3651738166809	4.7048704624176025	trials		558.6464767456055	559.0672178268433	557.6492235660553	557.4275891780853	Left
561.8180916309357	4.706918239593506	trials		566.1784064769745	566.5241088867188	564.9183948040009	564.6934835910797	Left
